FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSG00000184678,HIST2H2BE,1.126811633,0.330273937,0.265768368,1.10267488,0.265973944,0.517753423,0.304763478,-1.79720714,3.23E-07,0.374824578,-1.381043722,0.859950006,1.010511102,0.077383965,1,1.072074198,0.165863907,1,1.306356712,0.483887674,0.459090759,1.134929205,0.248661102,1,0.386140564,-1.330199636,1
ENSG00000086758,HUWE1,1.101816411,0.329367406,0.267225505,1.049562574,0.211467043,0.647773989,0.621248629,-0.671412037,0.091015673,0.554318038,-0.78054256,1,0.850841599,-0.158889278,1,0.844664519,-0.165033106,1,1.120808926,0.274424274,0.786262865,0.75661947,-0.325745778,1,0.677328531,-0.483448348,1
ENSG00000113811,SELENOK,1.349066445,0.326739165,0.268192657,1.106638485,-0.079659404,0.99114036,1.075463428,-0.116767799,0.993746129,0.923863397,-0.331228586,1,1.043319904,-0.159024465,1,1.244255811,0.114874171,1,1.135853341,-0.025229743,1,1.039212284,-0.157793211,1,0.670998358,-0.796808992,1
ENSG00000164924,YWHAZ,9.590734265,0.319998026,0.268232689,9.533262476,0.287680604,0.438428838,4.414674806,-0.998304075,0.003506041,4.619316985,-0.862620424,1,8.921806898,0.126015588,1,7.251120029,-0.197077688,1,7.845662481,-0.077277072,1,8.783166983,0.092846837,1,5.950362794,-0.487578095,1
ENSG00000087302,RTRAF,1.753043278,0.323128651,0.272194572,1.529158766,0.033964522,1,1.019785485,-0.627623448,0.117395642,0.98721403,-0.62406403,1,1.351722644,-0.166856301,1,1.669836781,0.161244729,1,1.677452285,0.172153386,0.939871227,1.74569432,0.224583228,1,0.962186324,-0.65841195,1
ENSG00000104388,RAB2A,1.794251617,0.321484201,0.275229007,1.773316827,0.277657061,0.473715703,0.886451463,-0.885473001,0.01601855,1.029447785,-0.597903688,1,1.594507779,0.055595333,1,1.539888393,-0.00019334,1,1.213582819,-0.368145887,0.866009951,1.832295344,0.261508663,1,0.943195805,-0.722827467,1
ENSG00000128928,IVD,0.754585488,0.331926502,0.275229007,0.592955291,-0.155270967,0.854692254,0.383884766,-0.829565487,0.033241721,0.517363502,-0.319886827,1,0.496506537,-0.404142599,0.927721855,0.717964842,0.168959405,1,1.030542435,0.752347623,0.146187146,0.59253332,-0.121063108,1,0.670998358,0.065328449,1
ENSG00000106153,CHCHD2,8.636862547,0.315085141,0.278083779,8.019165409,0.14771364,0.792433963,5.028597389,-0.63346395,0.08694064,5.585414137,-0.430707344,1,6.957653283,-0.105487015,1,6.734575188,-0.1534637,1,7.208782241,-0.049452212,1,7.397550604,-0.01143387,1,7.235387951,-0.046505744,1
ENSG00000100644,HIF1A,1.102491957,0.324889616,0.278083779,0.868822191,-0.156240758,0.82030683,0.835169147,-0.201407211,0.808287154,0.839395886,-0.174025484,1,0.719606391,-0.423293811,0.894057981,1.033089681,0.138674933,1,1.203553209,0.383524626,0.613249186,0.847778443,-0.160399806,1,0.607696626,-0.645698644,1
ENSG00000163993,S100P,10.26222753,0.31560077,0.278976855,9.668817763,0.176958664,0.72407194,4.184636988,-1.188766977,0.00041278,6.498719095,-0.461658268,1,11.95552746,0.486505239,0.548130306,6.409704219,-0.489490766,1,6.173225001,-0.553834923,0.544308816,8.910789544,0.009407615,1,13.60354217,0.641440223,1
ENSG00000173230,GOLGB1,0.993728964,0.323928325,0.279432599,0.74595044,-0.246817943,0.596472709,0.73993056,-0.229973995,0.742625294,0.760207595,-0.166694722,1,0.640865266,-0.442102787,0.85994743,1.072074198,0.356374821,1,1.010483215,0.270136021,0.798502893,0.866010237,0.026905539,1,0.702649224,-0.280901361,1
ENSG00000182149,IST1,1.251112197,0.321679742,0.280234429,1.036086318,-0.066104427,1,0.924546898,-0.24442537,0.705555547,0.707415401,-0.616181349,1,0.91427195,-0.250923009,1,0.958369359,-0.172199978,1,1.391608398,0.410820836,0.575070298,0.893357929,-0.273913953,1,0.898884592,-0.26146605,1
ENSG00000113013,HSPA9,2.569103501,0.317021036,0.280549692,2.585855829,0.310217514,0.389311836,1.158980342,-1.030562195,0.003784681,1.182545148,-0.926806002,1,1.994775163,-0.161002291,1,2.108412589,-0.072604957,1,2.517432129,0.204667555,0.947185527,2.342785589,0.086202074,1,1.392638101,-0.683682363,1
ENSG00000101193,GID8,0.929552043,0.324286702,0.281502241,0.785586489,-0.025214052,1,0.487914607,-0.787049753,0.041450876,0.554318038,-0.532918804,1,0.772100474,-0.047613694,1,0.83491839,0.07393021,1,1.120808926,0.543166096,0.387685611,0.688250241,-0.215862859,1,0.57604576,-0.472798461,1
ENSG00000119650,IFT43,0.863348481,0.324730277,0.282080885,0.726925136,-0.031854423,1,0.439562709,-0.834097537,0.028953431,0.570155696,-0.381739032,1,0.667112308,-0.160409005,1,0.591265164,-0.337457956,1,1.140868146,0.692583726,0.193493445,0.656344601,-0.17556205,1,0.772281129,0.067573889,1
ENSG00000147162,OGT,1.455127253,0.319859927,0.282080885,1.247742819,-0.001648534,1,1.142863043,-0.146537808,0.926834921,0.786603692,-0.684851204,1,1.001762089,-0.345354558,0.996663576,0.968115488,-0.387425228,1,1.73261514,0.518685427,0.412949219,0.948053312,-0.412350532,1,0.791271648,-0.672365628,1
